File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.015503406524658203
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014367341995239258
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014538288116455078
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014343500137329102
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.018346548080444336
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014510869979858398
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014922857284545898
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.017279386520385742
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.01438593864440918
Bot,Naive Bayes,0.5416036308623298,0.6938478161721717,0.6744917161931685,0.5406574453982721,0.014941692352294922
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.01915454864501953
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.014745950698852539
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.016367435455322266
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.018288373947143555
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.0186767578125
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.01459193229675293
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.01775670051574707
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.01912212371826172
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.019494295120239258
Bot,QDA,0.6739788199697428,0.7361717506888656,0.768275210298206,0.6714929554402842,0.014937162399291992
Bot,Random Forest,0.9561270801815431,0.943872674448515,0.9516803191738511,0.9476492837928256,0.06751775741577148
Bot,Random Forest,0.9546142208774584,0.9415806910629474,0.9506085078126507,0.9459225080175404,0.055419206619262695
Bot,Random Forest,0.9636913767019667,0.9493577396687078,0.9660326723370722,0.9571057754704737,0.052907466888427734
Bot,Random Forest,0.9394856278366112,0.9205247953652238,0.9383915114744432,0.9287085571302228,0.05051994323730469
Bot,Random Forest,0.9652042360060514,0.9493816349660905,0.9708516905137806,0.9591202916944522,0.05528831481933594
Bot,Random Forest,0.9568835098335855,0.9445111399524119,0.952965666217553,0.9485891945476737,0.055170297622680664
Bot,Random Forest,0.953857791225416,0.9414425162689806,0.9485737194058473,0.9449014242327967,0.053082942962646484
Bot,Random Forest,0.9546142208774584,0.942597555644257,0.9491096250864475,0.945765140906704,0.05153679847717285
Bot,Random Forest,0.9568835098335855,0.9445111399524119,0.952965666217553,0.9485891945476737,0.051427602767944336
Bot,Random Forest,0.9561270801815431,0.943872674448515,0.9516803191738511,0.9476492837928256,0.052790164947509766
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.02182769775390625
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.020836353302001953
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.02027273178100586
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.01997232437133789
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.020176410675048828
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.021380186080932617
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.021066904067993164
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.020524263381958008
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.020145416259765625
Bot,ID3,0.9447806354009077,0.9211590840310704,0.9601294439530828,0.9366739831556706,0.02257537841796875
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2926511764526367
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2782618999481201
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2775418758392334
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2797579765319824
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.28171634674072266
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.27884674072265625
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.27435731887817383
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2777533531188965
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.2810049057006836
Bot,AdaBoost,0.9614220877458396,0.9423567635694952,0.9719193689262875,0.9551315368290477,0.27372241020202637
